      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621307748.00 2158.00000 184566.00   22 19 01.13843  114 10 05.18066        5.033   0.007  -0.001   0.032  -0.330   0.347   0.033   0.3357933750   0.7554047458   1.9679438685 4
1621307749.00 2158.00000 184567.00   22 19 01.13799  114 10 05.18135        4.990   0.008  -0.002   0.020   0.104   0.136   0.002   0.3077012543   0.7482427734   1.9666203360 4
1621307750.00 2158.00000 184568.00   22 19 01.13756  114 10 05.18205        4.941   0.003  -0.001   0.018   0.214   0.050  -0.032   0.3094659643   0.7456873816   1.9675141502 4
1621307751.00 2158.00000 184569.00   22 19 01.13717  114 10 05.18275        4.886   0.008  -0.001   0.017  -0.181   0.024  -0.021   0.3115973673   0.7455154943   1.9672906966 4
1621307752.00 2158.00000 184570.00   22 19 01.13681  114 10 05.18340        4.824   0.000  -0.001   0.013   0.039  -0.018   0.040   0.3111619194   0.7443122829   1.9675485276 4
1621307753.00 2158.00000 184571.00   22 19 01.13649  114 10 05.18402        4.753   0.003  -0.000   0.015   0.209  -0.019   0.002   0.3114942349   0.7444727111   1.9676344713 3
1621307754.00 2158.00000 184572.00   22 19 01.13622  114 10 05.18463        4.695  -0.000   0.000   0.012  -0.650  -0.176   0.029   0.3135110463   0.7422324461   1.9677777108 3
1621307755.00 2158.00000 184573.00   22 19 01.13599  114 10 05.18519        4.708  -0.002  -0.000   0.012   0.484  -0.124   0.029   0.3113567250   0.7424673588   1.9685913108 4
1621307756.00 2158.00000 184574.00   22 19 01.13588  114 10 05.18527        4.698   0.003  -0.000   0.013   0.127   0.044   0.019   0.3134537506   0.7443695787   1.9682589953 5
1621307757.00 2158.00000 184575.00   22 19 01.13588  114 10 05.18527        4.698   0.003   0.001   0.012  -0.483   0.050  -0.070   0.3148059310   0.7436820293   1.9683449390 5
1621307758.00 2158.00000 184576.00   22 19 01.13588  114 10 05.18527        4.698  -0.001  -0.001   0.009  -0.410  -0.118  -0.012   0.3146626915   0.7421121250   1.9677719812 5
1621307759.00 2158.00000 184577.00   22 19 01.13588  114 10 05.18527        4.698  -0.000  -0.000   0.008   0.232  -0.126   0.014   0.3152299197   0.7410521531   1.9670214065 5
1621307760.00 2158.00000 184578.00   22 19 01.13588  114 10 05.18527        4.698  -0.000  -0.000   0.008   0.628   0.173   0.068   0.3121474068   0.7457962436   1.9667177388 5
1621307761.00 2158.00000 184579.00   22 19 01.13588  114 10 05.18526        4.698  -0.000  -0.001   0.006   0.315   0.110  -0.050   0.3165477227   0.7463634718   1.9675427981 5
1621307762.00 2158.00000 184580.00   22 19 01.13588  114 10 05.18526        4.698   0.002  -0.002   0.002  -0.111  -0.053  -0.054   0.3160091423   0.7465296296   1.9682589953 5
1621307763.00 2158.00000 184581.00   22 19 01.13588  114 10 05.18526        4.698  -0.000  -0.000   0.004  -0.341   0.109  -0.060   0.3146798802   0.7456071675   1.9678006291 5
1621307764.00 2158.00000 184582.00   22 19 01.13588  114 10 05.18526        4.698   0.003   0.000   0.002   0.154  -0.086  -0.124   0.3175102917   0.7450800464   1.9682131587 5
1621307765.00 2158.00000 184583.00   22 19 01.13588  114 10 05.18526        4.698  -0.002  -0.001   0.001  -0.386   0.170   0.170   0.3202375709   0.7490219960   1.9688147644 5
1621307766.00 2158.00000 184584.00   22 19 01.13588  114 10 05.18526        4.698   0.001   0.001  -0.001   0.237   0.159  -0.074   0.3164617790   0.7517091681   1.9689580038 5
1621307767.00 2158.00000 184585.00   22 19 01.13587  114 10 05.18525        4.698  -0.000  -0.002  -0.003   0.069   0.041  -0.031   0.3173899706   0.7512221539   1.9692674010 5
1621307768.00 2158.00000 184586.00   22 19 01.13587  114 10 05.18525        4.698   0.000   0.000  -0.002  -0.086  -0.106  -0.014   0.3188338243   0.7497897594   1.9697601447 5
1621307769.00 2158.00000 184587.00   22 19 01.13587  114 10 05.18525        4.698   0.000  -0.002  -0.002  -0.032   0.176  -0.000   0.3183067031   0.7518753258   1.9693132376 5
1621307770.00 2158.00000 184588.00   22 19 01.13587  114 10 05.18525        4.698   0.004  -0.002  -0.001  -0.234  -0.088  -0.035   0.3196818018   0.7471598832   1.9665172036 5
1621307771.00 2158.00000 184589.00   22 19 01.13587  114 10 05.18525        4.698  -0.000  -0.003  -0.000   0.164  -0.019   0.104   0.3156424493   0.7486037368   1.9686887136 5
1621307772.00 2158.00000 184590.00   22 19 01.13587  114 10 05.18524        4.698  -0.002  -0.002   0.001  -0.059   0.028   0.046   0.3170977621   0.7510330779   1.9695825278 5
1621307773.00 2158.00000 184591.00   22 19 01.13587  114 10 05.18524        4.698  -0.002   0.000   0.001   0.033  -0.043   0.044   0.3194698074   0.7505116863   1.9695424208 5
1621307774.00 2158.00000 184592.00   22 19 01.13587  114 10 05.18524        4.698  -0.001   0.002   0.004  -0.062  -0.009   0.043   0.3185473454   0.7499902947   1.9694220996 5
1621307775.00 2158.00000 184593.00   22 19 01.13587  114 10 05.18524        4.698  -0.002   0.001   0.007  -0.095   0.062  -0.030   0.3182322186   0.7510903736   1.9699778687 5
1621307776.00 2158.00000 184594.00   22 19 01.13587  114 10 05.18524        4.698   0.005   0.003   0.006  -0.334   0.000  -0.035   0.3200313060   0.7514226892   1.9690554066 5
1621307777.00 2158.00000 184595.00   22 19 01.13587  114 10 05.18523        4.698   0.005   0.003   0.006  -0.228   0.066   0.009   0.3202891371   0.7525628752   1.9689580038 5
1621307778.00 2158.00000 184596.00   22 19 01.13587  114 10 05.18523        4.699  -0.002   0.002   0.005  -0.074   0.033   0.059   0.3204839427   0.7510101595   1.9692158348 5
1621307779.00 2158.00000 184597.00   22 19 01.13587  114 10 05.18523        4.699   0.000   0.003   0.006   0.399  -0.140   0.099   0.3205355089   0.7491652354   1.9688319531 5
1621307780.00 2158.00000 184598.00   22 19 01.13587  114 10 05.18523        4.699   0.000   0.003   0.005   0.346   0.087   0.090   0.3203693511   0.7504257426   1.9688720601 5
1621307781.00 2158.00000 184599.00   22 19 01.13587  114 10 05.18522        4.699   0.004   0.002   0.003  -0.059  -0.277  -0.199   0.3216642358   0.7488042720   1.9687746573 5
1621307782.00 2158.00000 184600.00   22 19 01.13587  114 10 05.18522        4.699   0.002   0.002   0.004  -0.328  -0.315  -0.118   0.3227986922   0.7476411677   1.9688892489 5
1621307783.00 2158.00000 184601.00   22 19 01.13587  114 10 05.18522        4.699   0.002   0.000   0.004   0.509  -0.038  -0.042   0.3227127485   0.7488271903   1.9688949785 5
1621307784.00 2158.00000 184602.00   22 19 01.13587  114 10 05.18522        4.699  -0.002   0.001   0.002   0.466   0.021   0.027   0.3232857063   0.7486094664   1.9685454742 5
1621307785.00 2158.00000 184603.00   22 19 01.13587  114 10 05.18522        4.699  -0.002  -0.003   0.003   0.140  -0.063   0.042   0.3245519431   0.7484948748   1.9684881784 5
1621307786.00 2158.00000 184604.00   22 19 01.13587  114 10 05.18521        4.699  -0.003  -0.001   0.004  -0.398   0.045  -0.054   0.3240190923   0.7499673764   1.9681329446 5
1621307787.00 2158.00000 184605.00   22 19 01.13587  114 10 05.18521        4.699  -0.001  -0.007   0.002  -0.637  -0.024  -0.027   0.3257494248   0.7505460637   1.9682933728 5
1621307788.00 2158.00000 184606.00   22 19 01.13586  114 10 05.18521        4.699   0.002  -0.004   0.002  -0.376   0.048  -0.034   0.3264713517   0.7513940413   1.9676000938 5
1621307789.00 2158.00000 184607.00   22 19 01.13586  114 10 05.18521        4.699   0.001  -0.004  -0.000  -0.263  -0.034  -0.148   0.3258239094   0.7522305596   1.9673766403 5
1621307790.00 2158.00000 184608.00   22 19 01.13586  114 10 05.18521        4.699   0.002  -0.003  -0.000  -0.337  -0.021  -0.081   0.3277261292   0.7517148976   1.9672735079 5
1621307791.00 2158.00000 184609.00   22 19 01.13586  114 10 05.18520        4.699   0.005   0.001  -0.003   0.018   0.004  -0.094   0.3287517237   0.7527576808   1.9673078854 5
1621307792.00 2158.00000 184610.00   22 19 01.13586  114 10 05.18520        4.699   0.007   0.005  -0.005   0.256   0.018  -0.279   0.3293819773   0.7539379739   1.9669354628 5
1621307793.00 2158.00000 184611.00   22 19 01.13587  114 10 05.18527        4.676   0.002   0.003  -0.014   0.406   0.046   0.008   0.3298804505   0.7525686047   1.9669354628 2
1621307794.00 2158.00000 184612.00   22 19 01.13591  114 10 05.18557        4.622   0.007   0.004  -0.015  -0.680   0.086   0.051   0.3339885579   0.7550609712   1.9662020768 2
1621307795.00 2158.00000 184613.00   22 19 01.13593  114 10 05.18579        4.588   0.009   0.003  -0.019  -0.522  -0.126  -0.081   0.3330546367   0.7525972526   1.9657952768 2
1621307796.00 2158.00000 184614.00   22 19 01.13598  114 10 05.18610        4.558   0.009   0.001  -0.018   0.217   0.074  -0.064   0.3327337804   0.7537890049   1.9659041388 2
1621307797.00 2158.00000 184615.00   22 19 01.13625  114 10 05.18656        4.524   0.001   0.071  -0.026   0.085   0.356  -0.016   0.3340916903   0.8215183458   1.8850655234 2
1621307798.00 2158.00000 184616.00   22 19 01.14271  114 10 05.18714        4.496   0.028   0.286  -0.022   0.340   0.269   0.016   0.1740130120   0.7845568385   1.3724287250 2
1621307799.00 2158.00000 184617.00   22 19 01.15608  114 10 05.18892        4.470   0.039   0.447  -0.025  -0.314  -0.584   0.072   0.3028483018   0.7553818275   2.2417833171 5
1621307800.00 2158.00000 184618.00   22 19 01.16160  114 10 05.18990        4.441   0.025  -0.002  -0.021   0.202   0.070  -0.086   0.4196973145   0.7566537938   1.9587478959 5
1621307801.00 2158.00000 184619.00   22 19 01.16151  114 10 05.19059        4.407   0.020  -0.004  -0.031  -0.328  -0.033   0.131   0.4493879875   0.7546713599   1.8713947505 5
1621307802.00 2158.00000 184620.00   22 19 01.16142  114 10 05.19133        4.371   0.024  -0.001  -0.035  -0.334   0.000   0.058   0.4471362633   0.7775954012   1.8770498439 5
1621307803.00 2158.00000 184621.00   22 19 01.16636  114 10 05.19186        4.332  -0.003   0.327  -0.039   0.353   0.264  -0.001   0.4241778445   0.8349828540   0.3324644902 5
1621307804.00 2158.00000 184622.00   22 19 01.18320  114 10 05.19263        4.290   0.038   0.794  -0.064  -0.068   1.248  -0.151   0.6600817575   0.9780446859  -1.2059848969 5
1621307805.00 2158.00000 184623.00   22 19 01.23417  114 10 05.19218        4.257   0.040   2.223  -0.059   0.068   1.301   0.022   0.8329144764   1.1802529509  -3.2835756986 5
1621307806.00 2158.00000 184624.00   22 19 01.32021  114 10 05.18649        4.231   0.076   3.060  -0.074   0.046   0.688  -0.382   1.2553963658   0.9659266285  -6.6975848280 5
1621307807.00 2158.00000 184625.00   22 19 01.43233  114 10 05.17047        4.201   0.153   3.890  -0.087   0.181   0.487   0.796   1.3910899604   0.8752102208 -10.9173559637 6
1621307808.00 2158.00000 184626.00   22 19 01.56114  114 10 05.14406        4.178   0.136   4.118  -0.060   0.680   0.661   0.168   1.0883447910   0.6133971563 -12.9628152924 6
1621307809.00 2158.00000 184627.00   22 19 01.68850  114 10 05.11715        4.140   0.064   3.890  -0.052   0.095  -0.021   0.617   1.1367597247   0.4945657096 -13.2151401758 5
1621307810.00 2158.00000 184628.00   22 19 01.81692  114 10 05.08822        4.131   0.094   4.223  -0.070  -0.555  -0.748  -0.868   1.3515272246   1.3237158532 -14.0495787199 5
1621307811.00 2158.00000 184629.00   22 19 01.95470  114 10 05.05381        4.122   0.084   4.425  -0.157  -1.059   1.789   0.364   0.8911155292   0.7384394655 -14.8955795523 5
1621307812.00 2158.00000 184630.00   22 19 02.09761  114 10 05.01744        4.090   0.148   4.441  -0.085  -0.461  -0.417  -0.718   0.9538486782   0.0467304378 -15.0765081648 5
1621307813.00 2158.00000 184631.00   22 19 02.23676  114 10 04.98200        4.054   0.103   4.354  -0.074   1.036   0.286  -0.216   0.4807115901   0.8321123354 -14.8174166498 5
1621307814.00 2158.00000 184632.00   22 19 02.37497  114 10 04.94795        4.055   0.011   4.296  -0.066  -1.206  -0.935  -2.501   0.5319225578   0.9158329285 -14.5204411655 5
1621307815.00 2158.00000 184633.00   22 19 02.50941  114 10 04.92115        4.068   0.238   4.111  -0.037   0.211  -1.630   0.065   0.8285943746   0.7549291909 -10.3630995110 5
1621307816.00 2158.00000 184634.00   22 19 02.64403  114 10 04.90502        4.075   0.170   4.202  -0.059   1.201   1.001   0.870   0.4207973935   0.8871793091  -7.0119667702 5
1621307817.00 2158.00000 184635.00   22 19 02.77853  114 10 04.88874        4.092   0.074   4.048  -0.062  -0.047   0.136   0.338   0.5018250849   1.1467979453  -9.0963700401 5
1621307818.00 2158.00000 184636.00   22 19 02.90945  114 10 04.86879        4.111   0.131   4.157  -0.068  -1.140  -1.002   0.026   0.4859942610   0.9431572857 -10.0935457867 4
1621307819.00 2158.00000 184637.00   22 19 03.04691  114 10 04.84402        4.110   0.144   4.382  -0.068  -1.088  -0.041  -0.439   0.6509373510   0.8734684291 -11.8114909805 5
1621307820.00 2158.00000 184638.00   22 19 03.18495  114 10 04.81489        4.123   0.081   4.221  -0.046  -0.004  -0.201   0.527   0.3967904619   1.0019714034 -12.9905636384 5
